pdf_path,page_no,success,processing_time,error,timestamp
,0,False,0.00,,2025-10-08T17:25:20.729035
"data\drive\Secondary Sources\(OCR) AfO 51, 2005-06, pp. 247-249 - Kryszat, Guido - Altassyrische Miszellen 2 - Zur Gottin Istar - ZA.AT.pdf",1,True,29.67,,2025-10-08T17:25:50.444522
"data\drive\Secondary Sources\(OCR) AfO 51, 2005-06, pp. 247-249 - Kryszat, Guido - Altassyrische Miszellen 2 - Zur Gottin Istar - ZA.AT.pdf",2,True,21.43,,2025-10-08T17:26:11.879478
"data\drive\Secondary Sources\(OCR) AfO 51, 2005-06, pp. 247-249 - Kryszat, Guido - Altassyrische Miszellen 2 - Zur Gottin Istar - ZA.AT.pdf",1,True,24.51,,2025-10-08T17:26:36.395756
"data\drive\Secondary Sources\(OCR) AfO 51, 2005-06, pp. 247-249 - Kryszat, Guido - Altassyrische Miszellen 2 - Zur Gottin Istar - ZA.AT.pdf",2,True,24.43,,2025-10-08T17:27:00.825348
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",1,True,27.87,,2025-10-08T17:27:28.699867
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",2,True,23.26,,2025-10-08T17:27:51.964795
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",3,True,17.35,,2025-10-08T17:28:09.312315
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",4,True,21.86,,2025-10-08T17:28:31.170234
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",5,True,19.60,,2025-10-08T17:28:50.766920
