pdf_path,page_no,success,processing_time,error,timestamp
,0,False,0.00,,2025-10-08T17:47:22.926071
"data\drive\Secondary Sources\(OCR) AfO 51, 2005-06, pp. 247-249 - Kryszat, Guido - Altassyrische Miszellen 2 - Zur Gottin Istar - ZA.AT.pdf",1,True,0.54,,2025-10-08T17:47:23.513091
"data\drive\Secondary Sources\(OCR) AfO 51, 2005-06, pp. 247-249 - Kryszat, Guido - Altassyrische Miszellen 2 - Zur Gottin Istar - ZA.AT.pdf",2,True,6.70,,2025-10-08T17:47:30.212113
"data\drive\Secondary Sources\(OCR) AfO 51, 2005-06, pp. 247-249 - Kryszat, Guido - Altassyrische Miszellen 2 - Zur Gottin Istar - ZA.AT.pdf",1,True,0.53,,2025-10-08T17:47:30.740041
"data\drive\Secondary Sources\(OCR) AfO 51, 2005-06, pp. 247-249 - Kryszat, Guido - Altassyrische Miszellen 2 - Zur Gottin Istar - ZA.AT.pdf",2,True,0.53,,2025-10-08T17:47:31.274227
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",1,True,0.40,,2025-10-08T17:47:31.674950
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",2,True,0.41,,2025-10-08T17:47:32.081602
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",3,True,0.40,,2025-10-08T17:47:32.484486
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",4,True,0.39,,2025-10-08T17:47:32.879033
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",5,True,0.41,,2025-10-08T17:47:33.290514
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",6,True,0.41,,2025-10-08T17:47:33.705147
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",7,True,0.39,,2025-10-08T17:47:34.100026
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",8,True,0.40,,2025-10-08T17:47:34.500367
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",9,True,0.33,,2025-10-08T17:47:34.828055
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",1,True,0.42,,2025-10-08T17:47:35.246370
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",2,True,0.42,,2025-10-08T17:47:35.669366
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",3,True,0.44,,2025-10-08T17:47:36.107055
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",4,True,0.43,,2025-10-08T17:47:36.535112
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",5,True,0.44,,2025-10-08T17:47:36.972854
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",6,True,0.51,,2025-10-08T17:47:37.479651
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",7,True,0.49,,2025-10-08T17:47:37.969639
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",8,True,0.49,,2025-10-08T17:47:38.456290
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",9,True,0.36,,2025-10-08T17:47:38.822266
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",1,True,0.62,,2025-10-08T17:47:39.444870
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",2,True,0.71,,2025-10-08T17:47:40.154926
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",3,True,0.70,,2025-10-08T17:47:40.858169
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",4,True,0.69,,2025-10-08T17:47:41.545498
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",5,True,0.70,,2025-10-08T17:47:42.247523
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",6,True,0.70,,2025-10-08T17:47:42.946917
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",7,True,0.67,,2025-10-08T17:47:43.622152
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",8,True,0.47,,2025-10-08T17:47:44.095985
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",1,True,0.61,,2025-10-08T17:47:44.702388
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",2,True,0.68,,2025-10-08T17:47:45.387124
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",3,True,0.68,,2025-10-08T17:47:46.066041
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",4,True,0.72,,2025-10-08T17:47:46.785354
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",5,True,0.69,,2025-10-08T17:47:47.479800
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",6,True,0.73,,2025-10-08T17:47:48.212329
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",7,True,0.66,,2025-10-08T17:47:48.874715
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",8,True,0.48,,2025-10-08T17:47:49.354348
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,1,True,0.41,,2025-10-08T17:47:49.763995
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,2,True,0.45,,2025-10-08T17:47:50.215894
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,3,True,0.45,,2025-10-08T17:47:50.664481
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,4,True,0.37,,2025-10-08T17:47:51.036124
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,5,True,0.48,,2025-10-08T17:47:51.521482
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,6,True,0.48,,2025-10-08T17:47:51.999569
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,7,True,0.46,,2025-10-08T17:47:52.456530
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,8,True,0.49,,2025-10-08T17:47:52.944082
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,9,True,0.47,,2025-10-08T17:47:53.416340
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,10,True,0.47,,2025-10-08T17:47:53.892303
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,11,True,0.37,,2025-10-08T17:47:54.268530
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,12,True,0.44,,2025-10-08T17:47:54.704860
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,13,True,0.38,,2025-10-08T17:47:55.083554
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,14,True,0.47,,2025-10-08T17:47:55.558567
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,15,True,0.35,,2025-10-08T17:47:55.910697
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,16,True,0.37,,2025-10-08T17:47:56.279165
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,17,True,7.24,,2025-10-08T17:48:03.518015
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,18,True,7.04,,2025-10-08T17:48:10.561754
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,1,True,0.40,,2025-10-08T17:48:10.961150
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,2,True,0.46,,2025-10-08T17:48:11.421688
